
6 Mot inconnu : Eee => ====== Asus Eee PC 1201 ====== | eee
86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Carte graphique** : AMD® RS780MN ; |    => suggestions : ['']
86 Mot inconnu : RS780MN =>   * **Carte graphique** : AMD® RS780MN ; | rs780mn

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Mémoire :** 2 Go ; |    => suggestions : ['']
87 Si “Go” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * **Mémoire :** 2 Go ; | 2 go => suggestions : ['2\xa0Go']

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 4 ~ 6 heures. |    => suggestions : ['']
88 Si “mAh” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 4 ~ 6 heures. | 4400 mah => suggestions : ['4\xa0400\xa0mAh']
88 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 4 ~ 6 heures. |  -  => suggestions : [' – ', ' — ', ' − ', ' −']
88 Avec une unité de mesure, mettez un espace insécable. =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 4 ~ 6 heures. | 47 wh => suggestions : ['47\xa0Wh']
88 Avec une unité de mesure, mettez un espace insécable. =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 4 ~ 6 heures. | 6 heures => suggestions : ['6\xa0heures']

100 Mot inconnu : EeePC => Les EeePC 1201 portant la mention N (1201N, 1201PN…) sont équipés du circuit graphique NVidia Ion (une puce NVidia GeForce 9400M), bien que le pilote libre de droit nouveau se débrouille bien avec celui-ci les pilotes propriétaires de NVidia on encore un peu d'avance, pour les mettre en place, | eeepc
100 Mot inconnu : NVidia => Les EeePC 1201 portant la mention N (1201N, 1201PN…) sont équipés du circuit graphique NVidia Ion (une puce NVidia GeForce 9400M), bien que le pilote libre de droit nouveau se débrouille bien avec celui-ci les pilotes propriétaires de NVidia on encore un peu d'avance, pour les mettre en place, | nvidia
100 Mot inconnu : NVidia => Les EeePC 1201 portant la mention N (1201N, 1201PN…) sont équipés du circuit graphique NVidia Ion (une puce NVidia GeForce 9400M), bien que le pilote libre de droit nouveau se débrouille bien avec celui-ci les pilotes propriétaires de NVidia on encore un peu d'avance, pour les mettre en place, | nvidia
100 Mot inconnu : GeForce => Les EeePC 1201 portant la mention N (1201N, 1201PN…) sont équipés du circuit graphique NVidia Ion (une puce NVidia GeForce 9400M), bien que le pilote libre de droit nouveau se débrouille bien avec celui-ci les pilotes propriétaires de NVidia on encore un peu d'avance, pour les mettre en place, | geforce
100 Mot inconnu : NVidia => Les EeePC 1201 portant la mention N (1201N, 1201PN…) sont équipés du circuit graphique NVidia Ion (une puce NVidia GeForce 9400M), bien que le pilote libre de droit nouveau se débrouille bien avec celui-ci les pilotes propriétaires de NVidia on encore un peu d'avance, pour les mettre en place, | nvidia
100 Confusion probable : “avoir” à la 3ᵉ personne du pluriel du présent s’écrit “ont”. => Les EeePC 1201 portant la mention N (1201N, 1201PN…) sont équipés du circuit graphique NVidia Ion (une puce NVidia GeForce 9400M), bien que le pilote libre de droit nouveau se débrouille bien avec celui-ci les pilotes propriétaires de NVidia on encore un peu d'avance, pour les mettre en place, | on => suggestions : ['ont']
100 Incohérence avec “on” : “encore” devrait être un verbe, un pronom objet, un adverbe de négation, etc. => Les EeePC 1201 portant la mention N (1201N, 1201PN…) sont équipés du circuit graphique NVidia Ion (une puce NVidia GeForce 9400M), bien que le pilote libre de droit nouveau se débrouille bien avec celui-ci les pilotes propriétaires de NVidia on encore un peu d'avance, pour les mettre en place, | encore => suggestions : []

102 Mot inconnu : ethernet => === Réseau ethernet === | ethernet

